Angola;0,7
Argelia;3,8
Bangladesh;6,9
Benin;6,6
Bhután;-10,1
Bolivia;6,1
Cabo Verde;7,0
Camboya;3,0
Camerún;3,5
Comoras;2,3
Congo;-3,5
Côte d'Ivoire;7,0
Djibouti;4,3
Egipto, República Árabe;3,3
El Salvador;10,8
Eswatini;7,4
Filipinas;5,7
Ghana;5,4
Haití;-1,8
Honduras;12,5
India;8,9
Indonesia;3,7
Irán ;1,8
Islas Salomón;-0,2
Kenya;7,5
Kirguistán;3,6
Kiribati;-0,5
Lesotho;1,0
Líbano;-10,5
Marruecos;7,4
Mauritania;2,3
Micronesia;-3,2
Mongolia;1,4
Myanmar;-18,0
Nepal;4,2
Nicaragua;10,3
Nigeria;3,6
Pakistán;6,0
Papua Nueva Guinea;1,5
República Poplar Lao;2,5
Ribera Occidental y Gaza;7,1
Samoa;-8,1
Santo Tomé y Príncipe;1,8
Senegal;6,1
Sri Lanka;3,7
Tanzanía;4,3
Tayikistán;9,2
Timor-Leste;4,4
Túnez;3,3
Ucrania;3,4
Uzbekistán;7,4
Vanuatu;0,5
Vietnan;2,6
Zimbabwe;5,8
